name,genre,artist,youtube,year,difficulty
Get Dripped,Rap music,Lil Yachty,https://www.youtube.com/embed/T2cxhV-STPI?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
On Me,Rap music,"Lil Yachty, Young Thug",https://www.youtube.com/embed/19kVq4Spk-Y?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Double Dutch,Rap music,Lud Foe X Z-Money,https://www.youtube.com/embed/raLWtowBHlI?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Act A Fool,Rap music,Ludacris,https://www.youtube.com/embed/TA7gnSyuIik?si=SE6XbwbFb5XHghhO,0,1
U Can't Touch This,Rap music,M.C. Hammer,https://www.youtube.com/embed/otCpCn0l4Wo?si=4raBsazcJhnRpbGg&amp,0,1
Ante Up,Rap music,M.O.P.,https://www.youtube.com/embed/3MUGAxpI0Bc?si=WJmk3ycBkOC3ydYP,0,1
Kids,Electro music,MGMT,https://www.youtube.com/embed/fe4EK4HSPkI?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Organe,Instrumental hip hop,MKL,https://www.youtube.com/embed/03ucz6a-kDs,0,1
Billets verts,Rap music,Maes,https://www.youtube.com/embed/G8hhrv7L-7w?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Easy,Britpop,Mai Lan,https://www.youtube.com/embed/RwrET-rYuaM?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Moves Like Jagger,Pop rock,Maroon 5,https://www.youtube.com/embed/0N9NOEindHc?si=UkIFYEzMGXwIyXCb,0,1
Got To Give It Up,Soul,Marvin Gaye,https://www.youtube.com/embed/fp7Q1OAzITM?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Let's Get It On,Soul,Marvin Gaye,https://www.youtube.com/embed/x6QZn9xiuOE?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Paradise Circus,Pop rock,Massive Attack,https://www.youtube.com/embed/jEgX64n3T7g?si=hnLWhkO_ikg8Q7Q5&amp,0,1
I Don't Want To Grow Up,Indie folk,Mesparrow,https://www.youtube.com/embed/vWKqVan9VS8?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Emoji A Chain,Rap music,Migos,https://www.youtube.com/embed/gthETpJIa14?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Call Casting,Rap music,Migos,https://www.youtube.com/embed/exbj5VQ_0Mg?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Bad and Boujee,Rap music,Migos,https://www.youtube.com/embed/S-sJp1FfG7Q?si=N53CkEE_ITlCkOpk,0,1
T-shirt,Rap music,Migos,https://www.youtube.com/embed/1VUa99-tJqs?si=Fp64Wh5lFcRu-CHm,0,1
Underwater,Pop rock,Mika,https://www.youtube.com/embed/e21s9tZaVro?si=YxdNVxitXu4Zvfti,0,1
Belle,Indie folk,Moriarty,https://www.youtube.com/embed/s6WMhhuYZ0Q?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Calypso Triste,Indie pop,Moriarty Meets Mama Rosin,https://www.youtube.com/embed/KLI5xzxPwWM?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Supernova,Afrobeat,Mr Eazi,https://www.youtube.com/embed/InIeez-2WIs?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Leg Over (Remix),Afrobeat,Mr Eazi & Major Lazer ft. French Montana & Ty Dolla Sign,https://www.youtube.com/embed/Cyw9fv_NBdk?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
In the summertime,Alternative rock,Mungo Jerry,https://www.youtube.com/embed/yG0oBPtyNb0?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
The Shake,Alternative rock,My American Heart,https://www.youtube.com/embed/th2PWpEQ6_o?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Shotta Flow 3,Rap music,NLE Choppa,https://www.youtube.com/embed/FvGgFzagfI4?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Shotta Flow Remix,Rap music,NLE Choppa ft. Blueface,https://www.youtube.com/embed/2KDlDuS6r6I?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Shiver,Pop rock,Natalie Imbruglia,https://www.youtube.com/embed/ZwAd_ag9Q0E?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Torn,Pop rock,Natalie Imbruglia,https://www.youtube.com/embed/VV1XWJN3nJo?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
