name,birthname,date_of_birth,founding_year,spotify_id,genre,spotify_avatar,wikipedia_page,is_group
Pink Floyd,Pink Floyd,,1965,0k17h0D3J5VfsdmQ1iZtE9,Alternative rock,https://i.scdn.co/image/ab6761610000e5eb97885ce689d644c91dfba05c,https://fr.wikipedia.org/wiki/Pink_Floyd,1
Portishead,Portishead,,1991,6liAMWkVf5LH7YR9yfFy1Y,Trip hop,https://i.scdn.co/image/27802710b01453435de93d71bab2c9988a841ace,https://fr.wikipedia.org/wiki/Portishead_(groupe),1
Quality Control,Quality Control,,2012,6i392l38cR3uBPF0DbNs7S,Rap music,https://i.scdn.co/image/ab67616d0000b273f5c547a4335523f10a802f94,https://fr.wikipedia.org/wiki/Quality_Control_Music,1
Queens Of The Stone Age,Queens Of The Stone Age,,1996,4pejUc4iciQfgdX6OKulQn,Alternative rock,https://i.scdn.co/image/ab6761610000e5eb909b2c4b7c768ee03445cd10,https://fr.wikipedia.org/wiki/Queens_of_the_Stone_Age,1
R.E.M.,R.E.M.,,,4KWTAlx2RvbpseOGMEmROg,Alternative rock,https://i.scdn.co/image/ab6761610000e5eb6334ab6a83196f36475ada7f,https://fr.wikipedia.org/wiki/R.E.M.,1
Righteous Brothers,Righteous Brothers,,1962,4b0WsB47XCa9F83BmwQ7WX,nan,https://i.scdn.co/image/e97b7cd22945863ebc926c5c8e4e92bd2b8698d9,https://fr.wikipedia.org/wiki/The_Righteous_Brothers,1
Rilo Kiley,Rilo Kiley,,1998,2cevwbv7ISD92VMNLYLHZA,Rock and roll,https://i.scdn.co/image/2b56ef4b6f2093ebb46b18cbb4c0fccb9f27b2e2,https://fr.wikipedia.org/wiki/Rilo_Kiley,1
Roxette,Roxette,,1986,2SHhfs4BiDxGQ3oxqf0UHY,nan,https://i.scdn.co/image/ab6761610000e5eb347ca7e9f41f3ff8e2b19034,https://fr.wikipedia.org/wiki/Roxette,1
SEXY SUSHI,SEXY SUSHI,,2005,6yNXUzxIakMVY5LoVgZGHG,nan,https://i.scdn.co/image/ab6761610000e5eb3649e4fb8d618d1baa1f7bb5,https://fr.wikipedia.org/wiki/Sexy_Sushi,1
SNAP!,SNAP!,,1989,2FrKQPjJe4pVMZOgm0ESOx,nan,https://i.scdn.co/image/ab6761610000e5eb1097cae1ae4199d388081661,https://fr.wikipedia.org/wiki/Snap!_(groupe),1
SWV,SWV,,1990,2NmK5FyrQ18HOPXq1UBzqa,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb2c43fa54ddf21c961d2fd6c3,https://fr.wikipedia.org/wiki/SWV,1
Sade,Sade,,1982,47zz7sob9NUcODy0BTDvKx,nan,https://i.scdn.co/image/ab6761610000e5eb92883b0e094a36d2f43ad284,https://fr.wikipedia.org/wiki/Sade_(groupe),1
Salt-N-Pepa,Salt-N-Pepa,,1985,7wqtxqI3eo7Gn1P7SpP6cQ,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb0675a243b8f4b5301f514206,https://fr.wikipedia.org/wiki/Salt-N-Pepa,1
Spice Girls,Spice Girls,,1994,0uq5PttqEjj3IH1bzwcrXF,Pop rock,https://i.scdn.co/image/ab6761610000e5eb2e91ffbba84e8e94bafbc6d7,https://fr.wikipedia.org/wiki/Spice_Girls,1
Steppenwolf,Steppenwolf,,1967,1WRM9i067hd2ujxxi8FI3m,Acid rock,https://i.scdn.co/image/e7f03ec842ea8390a79b577557751a96502512a6,https://fr.wikipedia.org/wiki/Steppenwolf,1
Stereo Total,Stereo Total,,1993,662bj9rCw8Twt6JDAMmMDb,nan,https://i.scdn.co/image/ab6761610000e5ebc7ed6a9ee7bddee65d2c6b3a,https://fr.wikipedia.org/wiki/Stereo_Total,1
Sum 41,Sum 41,,1996,0qT79UgT5tY4yudH9VfsdT,nan,https://i.scdn.co/image/ab6761610000e5eb625af80b68ae4eb559c6c417,https://fr.wikipedia.org/wiki/Sum_41,1
Superbus,Superbus,,1999,3Hog7RVQ1lAv1crdfiJPLq,Pop rock,https://i.scdn.co/image/ab6761610000e5eb735edc388fce2f4c242e1e1d,https://fr.wikipedia.org/wiki/Superbus,1
TLC,TLC,,,0TImkz4nPqjegtVSMZnMRq,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb7356ae4581e46319f99c813a,https://fr.wikipedia.org/wiki/TLC_(groupe),1
Terror Squad,Terror Squad,,1998,2BvzbqWWwLN11XGBYgDZzx,Rap music,https://i.scdn.co/image/ab67616d0000b2732e49046fecfba5be6bc7b92a,https://fr.wikipedia.org/wiki/Terror_Squad_(groupe),1
The Be Good Tanyas,The Be Good Tanyas,,1999,37PywjKNsxHji5F9eFODF2,Country pop,https://i.scdn.co/image/691e56fb2b282de87d423a9602ac40146cba796b,https://fr.wikipedia.org/wiki/The_Be_Good_Tanyas,1
The Beatles,The Beatles,,1960,3WrFJ7ztbogyGnTHbHJFl2,Rock and roll,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,https://fr.wikipedia.org/wiki/The_Beatles,1
The Black Eyed Peas,The Black Eyed Peas,,1995,1yxSLGMDHlW21z4YXirZDS,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebb3037310c07b99cbefbd2c6d,https://fr.wikipedia.org/wiki/Black_Eyed_Peas,1
The Buggles,The Buggles,,,057gc1fxmJ2vkctjQJ7Tal,Electronic rock,https://i.scdn.co/image/11b74b31aaf8f8da8d35c4d578da1d678f58d37c,https://fr.wikipedia.org/wiki/The_Buggles,1
The Cinematic Orchestra,The Cinematic Orchestra,,1999,32ogthv0BdaSMPml02X9YB,nan,https://i.scdn.co/image/ab6761610000e5eb9e2576943e27fcddc3bb3646,https://fr.wikipedia.org/wiki/The_Cinematic_Orchestra,1
The Corrs,The Corrs,,1990,1VbWUxZTRNY2gw3qZ1tg9W,nan,https://i.scdn.co/image/ab6761610000e5eb599f5b4f1ea78db47fbead4e,https://fr.wikipedia.org/wiki/The_Corrs,1
The Doors,The Doors,,,22WZ7M8sxp5THdruNY3gXt,Alternative rock,https://i.scdn.co/image/ab6761610000e5eb440959e022afc20e819050bd,https://fr.wikipedia.org/wiki/The_Doors,1
The Drifters,The Drifters,,1953,1FqqOl9itIUpXr4jZPIVoT,nan,https://i.scdn.co/image/3361d8c88dc781f3a76657778454051db42e6d9e,https://fr.wikipedia.org/wiki/The_Drifters,1
The Dø,The Dø,,2005,2mcNCn1qbZUQ3J9KHapUxj,Folk pop,https://i.scdn.co/image/0d94f0d43132aa9762a9958e4eba50c049d956ce,https://fr.wikipedia.org/wiki/The_D%C3%B8,1
The East Side Boyz,The East Side Boyz,,1996,3ciRvbBIVz9fBoPbtSYq4x,Rap music,https://i.scdn.co/image/aafc4156598fa9f8f052ec5687e648ba9120f07e,,1
The La's,The La's,,1983,47Z8LEl3LnQkcpva0xSthT,Pop rock,https://i.scdn.co/image/e2657fa7789ec2be647b71076b46f980f7540c73,https://fr.wikipedia.org/wiki/The_La%27s,1
The Lumineers,The Lumineers,,,16oZKvXb6WkQlVAjwo2Wbg,Pop rock,https://i.scdn.co/image/ab6761610000e5eb0f882273183345499155d6ed,https://fr.wikipedia.org/wiki/The_Lumineers,1
The Plastic Ono Band,The Plastic Ono Band,,1969,4m2kfAHEnK7Z7qLGxeWtro,nan,https://i.scdn.co/image/ab6761610000e5eb01f6227cc7b24c0b740ff848,https://fr.wikipedia.org/wiki/Plastic_Ono_Band,1
The Police,The Police,,1977,5NGO30tJxFlKixkPSgXcFE,Rock and roll,https://i.scdn.co/image/72fe2cadb69ab59960ae3dbd29618549e4432699,https://fr.wikipedia.org/wiki/The_Police,1
The Pussycat Dolls,The Pussycat Dolls,,1995,6wPhSqRtPu1UhRCDX5yaDJ,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb292575f7d081016e04dff9ee,https://fr.wikipedia.org/wiki/The_Pussycat_Dolls,1
The Rolling Stones,The Rolling Stones,,1962,22bE4uQ6baNwSHPVcDxLCe,Rock and roll,https://i.scdn.co/image/ab6761610000e5ebe4cea917b68726aadb4854b8,https://fr.wikipedia.org/wiki/The_Rolling_Stones,1
The Shanghai Restoration Project,The Shanghai Restoration Project,,2005,0EP5EpsiMP8oLYy7sPHwf9,nan,https://i.scdn.co/image/ab6761610000e5ebdbc1170d337c9ae619b8d5b9,,1
The Smiths,The Smiths,,,3yY2gUcIsjMr8hjo51PoJ8,Jangle pop,https://i.scdn.co/image/4bf08a9e6eea088b20d4092d1322bbd3f39ff9af,https://fr.wikipedia.org/wiki/The_Smiths,1
The Tellers,The Tellers,,,0xAHllnAJZX2DlM8z2A0hC,Folk pop,https://i.scdn.co/image/ab6761610000e5eb5a38491b5735f0c62ebe1d5e,https://fr.wikipedia.org/wiki/The_Tellers,1
The Ting Tings,The Ting Tings,,2007,2wvUfjKGoXvcnDHq7GgMOa,Pop rock,https://i.scdn.co/image/ab6761610000e5eb525060ec706fc0f5dd7a2878,https://fr.wikipedia.org/wiki/The_Ting_Tings,1
The White Stripes,The White Stripes,,1997,4F84IBURUo98rz4r61KF70,Rock and roll,https://i.scdn.co/image/ab6761610000e5eb70cc06de8fc28226d4743cd9,https://fr.wikipedia.org/wiki/The_White_Stripes,1
The Who,The Who,,1964,,Punk rock,,https://fr.wikipedia.org/wiki/The_Who,1
