name,birthname,date_of_birth,spotify_id,genre,spotify_avatar,wikipedia_page
Maravillas de Mali,,,3bOctOMNMbRy5E8treNpSK,,https://i.scdn.co/image/ab6761610000e5eb52c3eda25a30a403797078fd,
Maroon 5,,,04gDigrS5kc9YWfZHwBETP,,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,
Marvin Gaye,Marvin Pentz Gaye Jr.,1939-04-02,3koiLjNrgRTNbOwViDipeA,,https://i.scdn.co/image/f69e669cd95c6008c6220fd060982ff9516ed636,
Massive Attack,,,6FXMGgJwohJLUSr5nVlf9X,,https://i.scdn.co/image/52c2a824e84f4e8adf0b12418f9f8306b4b5b77a,
Mesparrow,,,5ai4H4duxTBym6XsFjuGlD,,https://i.scdn.co/image/ab6761610000e5eb2ed28965bff7cd75a373c153,
Metro Boomin,Leland Tyler Wayne,1993-09-16,0iEtIxbK0KxaSlF7G42ZOp,,https://i.scdn.co/image/ab6761610000e5ebdf9a1555f53a20087b8c5a5c,
Mika,,1983-01-18,5MmVJVhhYKQ86izuGHzJYA,,https://i.scdn.co/image/ab6761610000e5ebc5adcd7630c57d002cc5a645,https://fr.wikipedia.org/wiki/Mika_(chanteur)
Milky Chance,,,1hzfo8twXdOegF3xireCYs,,https://i.scdn.co/image/ab6761610000e5eb44692946203bdd94759116e3,
Milow,,,6mo0UbyIvIePdXNyLwQlk5,,https://i.scdn.co/image/ab6761610000e5ebd8167838eeea4e8cddfcc045,
Moriarty,,,3iTsJGG39nMg9YiolUgLMQ,,https://i.scdn.co/image/75416e947bf832f9181500e2da9ebd5feed53d93,https://fr.wikipedia.org/wiki/Professeur_Moriarty
Moriarty Meets Mama Rosin,,,3gXj2P4t2wkBTjvJ8s64BE,,https://i.scdn.co/image/ab6761610000e5ebe905fd9e24019bc418c1e396,
Mory Kanté,,,0roLSs1WqlurDniSZ1pttN,,https://i.scdn.co/image/96548389c36f0fa76fa5b3f1bf1118ac67074227,
Mr Eazi,Oluwatosin Ajibade,,4TAoP0f9OuWZUesao43xUW,,https://i.scdn.co/image/ab6761610000e5eb6bb92fd0515f7bb07ec67a98,
Mungo Jerry,,,2mbvqMGpwLsakeH45p1Jrb,,https://i.scdn.co/image/ab6761610000e5eb63d7307f5e3c9f7538af6877,
My American Heart,,,40ahTPmIE9WQOOTutV1dwc,,https://i.scdn.co/image/ab6761610000e5eb54bc48d8b533fbe67a406679,
Natalie Imbruglia,Natalia Jane Imbruglia,1975-02-04,0dlOr0VIysztGWvU1dpjmP,,https://i.scdn.co/image/ab6761610000e5eb2e023776b822635846e1f5f1,
Natasha Bedingfield,Natasha Anne Bedingfield,1981-11-26,7o95ZoZt5ZYn31e9z1Hc0a,,https://i.scdn.co/image/ab6761610000e5eb15f48264917c2b09a573ecc7,
Natasha St-Pier,Natasha Saint-Pierre,1981-02-10,1miK7RIscxXIgQgHQ0G7ch,,https://i.scdn.co/image/ab6761610000e5ebcd55923ff87894189b6884aa,
